title,date,host,location,region,blurb,cost,bookingUrl,moreInfoUrl,featureImageUrl,startTime,endTime,dayOfWeek,featuredEvent
‘Stepping out on the Coast’ exhibition and History Week Open Day,2017-09-09,Brisbane Water Historical Society Inc,"Henry Kendall Cottage and Historical Museum, 25-27 Henry Kendall Street, West Gosford NSW 2250",Hunter,Brisbane Water Historical Society presents ‘Stepping out on the Coast’ an exhibition that highlights the biggest and best performances on the Central Coast.,Entry by donation,blank,http://historycouncilnsw.org.au/stepping-coast-exhibition-history-week-open-day/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/Regal-1062x675.jpg,10:30,13:30,Saturday ,FALSE
The Buchenwald Boys,2017-09-03,Sydney Jewish Museum,"Sydney Jewish Museum 148 Darlinghurst Road, Darlinghurst NSW 2010",Sydney: City,"This History Week, join the Sydney Jewish Museum to hear from three Polish Holocaust survivors from the Buchenwald Concentration Camp.",$15,http://sydneyjewishmuseum.com.au/shop/events/talk/buchenwald-boys-part-history-week-2017/,http://historycouncilnsw.org.au/buchenwald-boys-sydney-jewish-museum/,http://historycouncilnsw.org.au/wp-content/uploads/2017/08/Screen-Shot-2017-08-08-at-1.45.29-pm-1080x675.png,14:30,4:00,Sunday ,FALSE
A walking tour of Dulwich Hill,2017-09-10,Inner West Council - Library and History Services,"Meet outside Emanuel Tsardoulias Community Library, 362-372 New Canterbury Road, Dulwich Hill NSW 2203",Sydney: Inner West,Join local historian Mark Matterson for a fascinating guided walking tour highlighting the gentrification of Dulwich Hill and the rise of high rise living.,Free,http://www.innerwest.nsw.gov.au/art-events/events-and-festivals/history-week,http://historycouncilnsw.org.au/walking-tour-dulwich-hill/,http://historycouncilnsw.org.au/wp-content/uploads/2017/08/Dulwichhillwalk.jpg,9:30,12:00,Sunday ,FALSE
"The Angels, by Bob Yates",2017-09-07,Inner West Council - Library and History Services,"Marrickville Library, corner of Marrickville and Petersham Road, Marrickville NSW 2204",Sydney: Inner West,"Join Bob Yates, Australian author and long-time associate of the band ‘The Angels’ as he talks about the impact the band had on the Australian rock scene.",Free,http://www.innerwest.nsw.gov.au/art-events/events-and-festivals/history-week,http://historycouncilnsw.org.au/the-angels-history-week/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/Angels-1982-2-1080x675.jpg,19:45,21:30,Thursday ,FALSE
University of Sydney Postcards 1899-1955 by Jill Brown,2017-09-07,Inner West Council - Library and History Services,"Ashfield Library, Level 3, 260 Liverpool Road, Ashfield NSW 2131",Sydney: Inner West,Enjoy a nostalgia-filled talk about the University of Sydney’s history through its buildings and the people responsible for them with author Jill Brown.,Free,http://www.innerwest.nsw.gov.au/art-events/events-and-festivals/history-week,http://historycouncilnsw.org.au/university-of-sydney-postcards-1899-1955-by-jill-brown/,http://historycouncilnsw.org.au/wp-content/uploads/2017/08/Screen-Shot-2017-08-08-at-9.53.21-am-1080x675.png,18:00,20:00,Thursday ,FALSE
A Popular Pastime,2017-09-06,Inner West Council - Library and History Services,"Leichhardt Library exhibition space, Piazza Level, Italian Forum, 23 Norton Street, Leichhardt NSW 2040",Sydney: Inner West,Join historian Robert Parkinson as he discusses the exhibition ‘Popular Pastimes’ and the history of theatre and cinema in Sydney’s Inner West.,Free,http://www.innerwest.nsw.gov.au/art-events/events-and-festivals/history-week,http://historycouncilnsw.org.au/a-popular-pastime/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/1000010489-1080x675.jpg,18:00,20:00,Wednesday ,FALSE
Annette Kellerman: Behind the Myth,2017-09-05,Inner West Council - Library and History Services,"Emanuel Tsardoulias Community Library, 362-372 New Canterbury Road, Dulwich Hill NSW 2203",Sydney: Inner West,"Join researcher and curator Peter Cox for a lively History Week talk about swimmer and actress Annette Kellerman, including rare footage from the archives.",Free,http://www.innerwest.nsw.gov.au/art-events/events-and-festivals/history-week,http://historycouncilnsw.org.au/annette-kellerman-behind-myth/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/annette-kellerman-e1500943925691-1080x675.jpg,19:00,20:30,Tuesday ,FALSE
Victoria Barracks Tour,2017-09-07,Royal Australian Historical Society,"Victoria Barracks, Moore Park Road, Paddington NSW 2021",Sydney: City,Take a tour with the Royal Australian Historical Society as they explore the grounds of the Victoria Barracks and the Barrack’s onsite museum.,$8.00,https://www.rahs.org.au/event/rahs-excursion-victoria-barracks/,http://historycouncilnsw.org.au/victoria-barracks-tour/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/Men-of-the-50th-Regiment-at-Victoria-Barracks-c1870-SLNSW-SPF2F23.jpg,9:30,0:30,Thursday ,FALSE
State Archives Open Day – It’s all about you!,2017-09-08,State Archives NSW,"State Archives NSW, Western Sydney Records Centre, 161 O'Connell Street, Kingswood NSW 2747",Greater Sydney,"State Archives NSW are hosting a History Week Open Day. Learn about your family history, see behind the scenes and discover the treasures of the archives.","Free, bookings essential",https://www.records.nsw.gov.au/archives/magazine/open-day-2017,http://historycouncilnsw.org.au/open-day-state-archives-nsw/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/WSRC-Historical-Photos-OD-2013-1034x675.jpg,10:00,16:00,Friday ,FALSE
Walking Tour of Historic Brookvale,2017-09-09,Northern Beaches Council,"Meet outside 6 William Street, Brookvale NSW 2100",Sydney: Northern Beaches,Join Northern Beaches Council Local Studies Historian Michelle Richmond for a guided walking tour through Brookvale’s historic past.,Free,blank,http://historycouncilnsw.org.au/walking-tour-historic-brookvale/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/WJ-Scotting-horse-and-cart-2-1080x675.jpg,10:00,0:00,Saturday ,FALSE
